date,prcp,tobs
2011-03-21,0.0,71.5
2011-03-22,0.21125,71.0
2011-03-23,0.07625000000000001,72.125
2011-03-24,0.30874999999999997,72.625
2011-03-25,0.04,73.0
2011-03-26,0.11,72.5
2011-03-27,0.09333333333333334,73.16666666666667
2011-03-28,0.076,70.2
2011-03-29,0.041666666666666664,71.66666666666667
2011-03-30,0.03666666666666666,73.77777777777777
2011-03-31,0.0022222222222222222,71.88888888888889
2011-04-01,0.2666666666666667,72.55555555555556
2011-04-02,0.21666666666666665,73.5
2011-04-03,0.10166666666666667,73.66666666666667
2011-04-04,0.008571428571428572,72.0
2011-04-05,0.05375,71.5
2011-04-06,0.09,70.125
2011-04-07,1.2266666666666666,68.22222222222223
2011-04-08,0.44375,68.875
2011-04-09,0.075,75.66666666666667
2011-04-10,0.016666666666666666,74.5
2011-04-11,0.049999999999999996,73.14285714285714
2011-04-12,0.034444444444444444,73.22222222222223
2011-04-13,0.006666666666666666,69.44444444444444
2011-04-14,0.07125,73.5
2011-04-15,0.024444444444444446,72.44444444444444
2011-04-16,0.16833333333333333,75.0
2011-04-17,0.0,74.5
2011-04-18,0.035,72.25
2011-04-19,0.0022222222222222222,72.0
2011-04-20,0.00375,70.75
2011-04-21,0.021111111111111112,72.55555555555556
2011-04-22,0.0,77.28571428571429
2011-04-23,0.005714285714285714,76.28571428571429
2011-04-24,0.01,75.66666666666667
2011-04-25,0.025555555555555557,73.22222222222223
2011-04-26,0.09555555555555556,73.11111111111111
2011-04-27,0.0488888888888889,73.22222222222223
2011-04-28,0.051250000000000004,74.0
2011-04-29,0.19,73.625
2011-04-30,0.13166666666666668,73.16666666666667
2011-05-01,0.20666666666666667,74.16666666666667
2011-05-02,0.35833333333333334,73.0
2011-05-03,1.11625,70.5
2011-05-04,0.35750000000000004,72.75
2011-05-05,0.16111111111111112,72.0
2011-05-06,0.6466666666666666,70.66666666666667
2011-05-07,0.9442857142857143,71.28571428571429
2011-05-08,1.4900000000000002,71.5
2011-05-09,0.4783333333333333,73.33333333333333
2011-05-10,0.19500000000000003,73.25
2011-05-11,0.42000000000000004,72.125
2011-05-12,0.0425,73.5
2011-05-13,0.05142857142857143,73.57142857142857
2011-05-14,0.01,77.0
2011-05-15,0.0,75.0
2011-05-16,0.0025,74.125
2011-05-17,0.01125,72.75
2011-05-18,0.21250000000000002,71.875
2011-05-19,0.045,72.25
2011-05-20,0.005,74.375
2011-05-21,0.016666666666666666,75.16666666666667
2011-05-22,0.155,74.16666666666667
2011-05-23,0.045,74.75
2011-05-24,0.005555555555555556,74.44444444444444
2011-05-25,0.015555555555555557,74.33333333333333
2011-05-26,0.00375,74.75
2011-05-27,0.06875,75.125
2011-05-28,0.011666666666666665,75.16666666666667
2011-05-29,0.06333333333333334,75.66666666666667
2011-05-30,0.03166666666666667,75.16666666666667
2011-05-31,0.036250000000000004,73.375
2011-06-01,0.1842857142857143,73.71428571428571
2011-06-02,0.09625,75.0
2011-06-03,0.8875000000000001,69.625
2011-06-04,1.6666666666666667,69.5
2011-06-05,1.4416666666666664,74.0
2011-06-06,0.021428571428571432,73.85714285714286
2011-06-07,0.047142857142857146,72.28571428571429
2011-06-08,0.08125,74.625
2011-06-09,0.023333333333333334,75.0
2011-06-10,0.025714285714285714,75.28571428571429
2011-06-11,0.035,75.5
2011-06-12,0.3416666666666666,75.33333333333333
2011-06-13,0.0875,74.5
2011-06-14,0.04555555555555556,74.88888888888889
2011-06-15,0.008749999999999999,75.0
2011-06-16,0.17857142857142858,73.71428571428571
2011-06-17,0.03,74.14285714285714
2011-06-18,0.014285714285714287,76.0
2011-06-19,0.3442857142857143,75.57142857142857
2011-06-20,0.20000000000000004,73.0
2011-06-21,0.365,72.625
2011-06-22,0.48124999999999996,73.625
2011-06-23,0.16285714285714287,72.0
2011-06-24,0.35428571428571426,73.85714285714286
2011-06-25,0.014285714285714287,76.42857142857143
2011-06-26,0.09333333333333334,73.16666666666667
2011-06-27,0.18833333333333332,74.0
2011-06-28,0.08857142857142856,72.85714285714286
2011-06-29,0.023333333333333334,73.16666666666667
2011-06-30,0.005,72.16666666666667
2011-07-01,0.04125,73.875
2011-07-02,0.028333333333333335,76.0
2011-07-03,0.07833333333333332,75.66666666666667
2011-07-04,0.038571428571428576,75.28571428571429
2011-07-05,0.07428571428571429,74.0
2011-07-06,0.042499999999999996,74.0
2011-07-07,0.15999999999999998,73.0
2011-07-08,0.06333333333333334,75.0
2011-07-09,0.035,76.66666666666667
2011-07-10,0.021666666666666664,77.0
2011-07-11,0.03666666666666667,73.33333333333333
2011-07-12,0.002,73.2
2011-07-13,0.03166666666666667,73.5
2011-07-14,0.05714285714285715,72.85714285714286
2011-07-15,0.10714285714285714,74.85714285714286
2011-07-16,0.05285714285714286,76.28571428571429
2011-07-17,0.18333333333333335,76.66666666666667
2011-07-18,0.043333333333333335,74.5
2011-07-19,0.015714285714285715,74.85714285714286
2011-07-20,0.16285714285714284,72.0
2011-07-21,0.05,75.14285714285714
2011-07-22,0.285,73.66666666666667
2011-07-23,0.03333333333333333,76.16666666666667
2011-07-24,0.06999999999999999,74.66666666666667
2011-07-25,0.13499999999999998,75.0
2011-07-26,0.048749999999999995,75.625
2011-07-27,0.37125,75.125
2011-07-28,0.035,74.875
2011-07-29,0.1557142857142857,73.85714285714286
2011-07-30,0.385,76.83333333333333
2011-07-31,0.002,77.2
2011-08-01,0.0014285714285714286,73.28571428571429
2011-08-02,0.054285714285714284,73.57142857142857
2011-08-03,0.0325,75.25
2011-08-04,0.06285714285714286,75.42857142857143
2011-08-05,0.09571428571428572,76.28571428571429
2011-08-06,0.018333333333333337,75.16666666666667
2011-08-07,0.055714285714285716,77.57142857142857
2011-08-08,0.0014285714285714286,75.57142857142857
2011-08-09,0.2885714285714286,75.42857142857143
2011-08-10,0.006666666666666667,75.33333333333333
2011-08-11,0.03142857142857143,76.14285714285714
2011-08-12,0.012857142857142859,74.85714285714286
2011-08-13,0.02,75.5
2011-08-14,0.10833333333333334,77.0
2011-08-15,0.09142857142857143,76.42857142857143
2011-08-16,0.03875000000000001,75.0
2011-08-17,0.09875,75.25
2011-08-18,0.03142857142857143,74.57142857142857
2011-08-19,0.03166666666666667,77.33333333333333
2011-08-20,0.1,77.4
2011-08-21,0.06999999999999999,76.4
2011-08-22,0.092,75.0
2011-08-23,0.08857142857142856,74.85714285714286
2011-08-24,0.0475,75.0
2011-08-25,0.085,76.0
2011-08-26,0.054285714285714284,75.42857142857143
2011-08-27,0.10714285714285714,77.28571428571429
2011-08-28,0.17333333333333334,76.33333333333333
2011-08-29,0.3016666666666667,74.33333333333333
2011-08-30,0.16428571428571428,74.57142857142857
2011-08-31,0.11285714285714285,75.14285714285714
2011-09-01,0.08714285714285715,76.85714285714286
2011-09-02,0.09,76.71428571428571
2011-09-03,0.011666666666666667,77.0
2011-09-04,0.04,79.16666666666667
2011-09-05,0.01,75.4
2011-09-06,0.044,71.4
2011-09-07,0.0025,71.625
2011-09-08,0.013333333333333334,72.33333333333333
2011-09-09,0.012857142857142857,74.42857142857143
2011-09-10,0.13999999999999999,76.5
2011-09-11,0.078,75.8
2011-09-12,0.076,75.0
2011-09-13,0.09428571428571429,73.0
2011-09-14,0.04285714285714286,73.85714285714286
